N,a,tau,rho,psi0,psi1,psi2,psi3,psi4,psi5,psi6,psi7,psi8,psi9,psi10,psi11,psi12,psi13,psi14,psi15,S,U,w,E,S_relative_error,rho_relative_error,potential_relative_error,friedmann_relative_error
-4.00000000000000000e+00,1.83156388887341787e-02,-9.55404300284624419e-01,1.60999181790620338e-02,4.03426051334079432e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.48771086263858709e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.62754792178618110e+05,1.60999181588540492e-02,-1.45001061666675946e+00,2.24588462369641974e+02,4.66723092053602233e-09,8.45142608398356220e-10,1.25516070279667413e-09,1.44249818992174811e-16
-3.99583333333333313e+00,1.83921132617410332e-02,-9.55385689427997620e-01,1.61907329115076812e-02,4.00912501538026561e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.47844166649274822e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.60733019679239369e+05,1.61907328912083183e-02,-1.44996473204295517e+00,2.23181805277948598e+02,4.66499801048168955e-09,8.45319376139032605e-10,1.25376429970501431e-09,2.92147775435022750e-16
-3.99166666666666670e+00,1.84689069427317436e-02,-9.55366961273238280e-01,1.62820505439966734e-02,3.98414612436492177e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.46923022216262811e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.58736362040365988e+05,1.62820505236511391e-02,-1.44991865583436086e+00,2.21783988384694084e+02,4.65745648764585808e-09,8.45907863042563241e-10,1.24956830563445441e-09,2.95841964482515857e-16
-3.98749999999999982e+00,1.85460212649318848e-02,-9.55348115083586968e-01,1.63738737683884784e-02,3.95932286456113957e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.46007616982784305e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.56764507280787977e+05,1.63738737480108067e-02,-1.44987238724104084e+00,2.20394955826913417e+02,4.64829021732445291e-09,8.46613029722822726e-10,1.24452356759406923e-09,2.99582785764238456e-16
-3.98333333333333339e+00,1.86234575671336972e-02,-9.55329150117660175e-01,1.64662052900215843e-02,3.93465426631697483e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.45097915191074711e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.54817147294963012e+05,1.64662052695831763e-02,-1.44982592545971967e+00,2.19014652097774274e+02,4.64244616888109256e-09,8.47057882821257714e-10,1.24123364041286233e-09,3.03370827232671296e-16
-3.97916666666666652e+00,1.87012171937193834e-02,-9.55310065629438765e-01,1.65590478277590596e-02,3.91013936600436921e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.44193881305511895e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.52893977803311107e+05,1.65590478072650434e-02,-1.44977926968376836e+00,2.17643022044273806e+02,4.63599833850716374e-09,8.47542857579791923e-10,1.23763252844192166e-09,3.07206684247478240e-16
-3.97500000000000009e+00,1.87793014946843993e-02,-9.55290860868219682e-01,1.66524041140602257e-02,3.88577720600318059e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.43295480012027299e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.50994698306398030e+05,1.66524040935326530e-02,-1.44973241910318928e+00,2.16280010864952743e+02,4.62701523935623336e-09,8.48209398828666060e-10,1.23270925818979793e-09,3.11090959668771029e-16
-3.97083333333333321e+00,1.88577118256609520e-02,-9.55271535078581535e-01,1.67462768950435437e-02,3.86156683467090602e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.42402676216989410e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.49119012038522196e+05,1.67462768744712671e-02,-1.44968537290460331e+00,2.14925564107623302e+02,4.61932064659449445e-09,8.48772094066547133e-10,1.22846867249355960e-09,3.15024263951552148e-16
-3.96666666666666679e+00,1.89364495479414571e-02,-9.55252087500367830e-01,1.68406689305349230e-02,3.83750730628954898e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.41515435045244420e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.47266625920092309e+05,1.68406689098940625e-02,-1.44963813027123511e+00,2.13579627667113613e+02,4.61434899298928819e-09,8.49131747101239514e-10,1.22565562324016822e-09,3.19007215241342320e-16
-3.96249999999999991e+00,1.90155160285022558e-02,-9.55232517368666767e-01,1.69355829941200201e-02,3.81359768101850932e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.40633721838378922e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.45437250511069346e+05,1.69355829734423764e-02,-1.44959069038289856e+00,2.12242147783024478e+02,4.60575085152237216e-09,8.49744324439809650e-10,1.22095847881634191e-09,3.23040439471018117e-16
-3.95833333333333348e+00,1.90949126400272694e-02,-9.55212823913752174e-01,1.70310218732236431e-02,3.78983702489096459e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.39757502154586510e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.43630599968284834e+05,1.70310218525142262e-02,-1.44954305241598358e+00,2.10913071037504039e+02,4.59659700707587615e-09,8.50385595154584256e-10,1.21598204732799880e-09,3.27124570458859823e-16
-3.95416666666666661e+00,1.91746407609319075e-02,-9.55193006361065189e-01,1.71269883691600906e-02,3.76622440976369205e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.38886741766817279e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.41846391999702581e+05,1.71269883483748803e-02,-1.44949521554344085e+00,2.09592344353034235e+02,4.59241772730217129e-09,8.50676071926451194e-10,1.21359400354778362e-09,3.31260250007841906e-16
-3.95000000000000018e+00,1.92547017753869204e-02,-9.55173063931212707e-01,1.72234852971724778e-02,3.74275891324933355e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.38021406660280066e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.40084347817942995e+05,1.72234852763450269e-02,-1.44944717893476782e+00,2.08279914990233863e+02,4.58444921714704379e-09,8.51220123445551359e-10,1.20924717273485054e-09,3.35448128006167423e-16
-3.94583333333333330e+00,1.93350970733425047e-02,-9.55152995839892549e-01,1.73205154865222026e-02,3.71943961872884131e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.37161463032901398e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.38344192100391607e+05,1.73205154656635302e-02,-1.44939894175599449e+00,2.06975730545675162e+02,4.57525302088502918e-09,8.51838052406647277e-10,1.20427550031820637e-09,3.39688862529070078e-16
-3.94166666666666687e+00,1.94158280505523570e-02,-9.55132801297878364e-01,1.74180817805377926e-02,3.69626561529910475e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.36306877293394102e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.36625652944904432e+05,1.74180817596117261e-02,-1.44935050316966851e+00,2.05679738949715528e+02,4.57010437426864032e-09,8.52179254295691524e-10,1.20139902453238622e-09,3.43983119941895465e-16
-3.93750000000000000e+00,1.94968961085979949e-02,-9.55112479511012191e-01,1.75161870366585086e-02,3.67323599771160616e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.35457616058995090e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.34928461825418635e+05,1.75161870156819791e-02,-1.44930186233484104e+00,2.04391888464341918e+02,4.56306114345029428e-09,8.52640561373936117e-10,1.19755112927026140e-09,3.48331575004485162e-16
-3.93333333333333313e+00,1.95783026549130081e-02,-9.55092029680144505e-01,1.76148341265134553e-02,3.65034986636875715e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.34613646155330313e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.33252353552357177e+05,1.76148341055050277e-02,-1.44925301840705201e+00,2.03112127681031808e+02,4.55396378920085087e-09,8.53225497324419243e-10,1.19265543521921127e-09,3.52734910976867184e-16
-3.92916666666666670e+00,1.96600491028075253e-02,-9.55071451001104132e-01,1.77140259359798262e-02,3.62760632728633254e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.33774934615029495e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.31597066230991448e+05,1.77140259149176846e-02,-1.44920397053831551e+00,2.01840405518626341e+02,4.54728740272787945e-09,8.53650159053913967e-10,1.18900930343497957e-09,3.57193819726281679e-16
-3.92499999999999982e+00,1.97421368714927811e-02,-9.55050742664686481e-01,1.78137653652308547e-02,3.60500449203912694e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.32941448675722018e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.29962341219100446e+05,1.78137653441066864e-02,-1.44915471787710448e+00,2.00576671221217680e+02,4.54151955301577572e-09,8.54009363184450530e-10,1.18583398729460470e-09,3.61709001835554338e-16
-3.92083333333333339e+00,1.98245673861056973e-02,-9.55029903856614903e-01,1.79140553287998223e-02,3.58254347773295763e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.32113155779004465e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.28347923087062532e+05,1.79140553076414105e-02,-1.44910525956833647e+00,1.99320874356051860e+02,4.53269916053656131e-09,8.54551930996474526e-10,1.18110676029469106e-09,3.66281166712827942e-16
