t,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,norm_v,norm_plus,norm_minus,trilinear
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00
1.00000000000000006e-01,9.99800002853839187e-01,-1.99994323769385092e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.51663275257443101e-04,-4.96593250234824968e-07,0.00000000000000000e+00,0.00000000000000000e+00,1.00001585205213517e+00,5.04909714758646627e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.22939447013523117e-04,-7.56191926608339345e-03,0.00000000000000000e+00,0.00000000000000000e+00,9.99916853213772439e-01,1.49505152616953886e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.23343937724084080e-04,7.56412798532533730e-03,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999940825e-01,1.00000000000046962e+00,1.00000000000161782e+00,1.00000000000101386e+00
2.00000000000000011e-01,9.99200044648138497e-01,-3.99955860297265681e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.13279810546491682e-04,-3.94432480415559006e-06,0.00000000000000000e+00,0.00000000000000000e+00,1.00006437883034272e+00,1.01928486828226379e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.83531079954238369e-04,-1.52453983337788295e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99672397608404872e-01,2.98041182517512597e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.86674726084078586e-04,1.52627374507698244e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999019562e-01,9.99999999996929123e-01,9.99999999998120837e-01,9.99999999997034927e-01
3.00000000000000044e-01,9.98200220857601184e-01,-5.99855360360700696e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.39473298452734624e-03,-1.32122660812291154e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.00014716358128974e+00,1.54261144467713190e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.06946938930025867e-03,-2.30471270386249580e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99274259451047864e-01,4.45638824161630684e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.07978473664367084e-03,2.31045295148269506e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999036215e-01,9.99999999997114863e-01,9.99999999998262612e-01,9.99999999997206568e-01
4.00000000000000022e-01,9.96800681520621956e-01,-7.99667524478563652e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.50583569122499487e-03,-3.10721300014890422e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.00026593680252840e+00,2.07439958768629480e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.86849431385300137e-03,-3.09639536259002333e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.98730241746455305e-01,5.92328568004202097e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.89228711706500600e-03,3.10973689366791060e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999044320e-01,9.99999999997230993e-01,9.99999999998354872e-01,9.99999999997315259e-01
5.00000000000000000e-01,9.95001623243737199e-01,-9.99371100670299883e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.95633724066129459e-03,-6.01897844474490513e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.00042254947838871e+00,2.61418545846825341e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.86839029579879275e-03,-3.89929019935203111e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.98048297354370839e-01,7.38140542716344411e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.91365057938351322e-03,3.92483006247916211e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999049760e-01,9.99999999997200462e-01,9.99999999998341660e-01,9.99999999997295719e-01
6.00000000000000089e-01,9.92803281009411509e-01,-1.19894898096267646e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.75593089284567698e-03,-1.03116894363633086e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00061894789756689e+00,3.16153302623767701e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.05698509399133028e-03,-4.71311879104067410e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.97236503061566748e-01,8.83104376595227614e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.13323258108563591e-03,4.75635661834019133e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999029776e-01,9.99999999997333910e-01,9.99999999998426370e-01,9.99999999997395195e-01
7.00000000000000067e-01,9.90205919792487510e-01,-1.39838829678995746e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.91426202477618634e-03,-1.62282692504113111e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00085715004995368e+00,3.71603579224631109e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.42214830092727952e-03,-5.53762342286229781e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.96303034716241820e-01,1.02724904035151138e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.54031081177112309e-03,5.60486204236212288e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999999008349e-01,9.99999999997500444e-01,9.99999999998541833e-01,9.99999999997525202e-01
8.00000000000000044e-01,9.87209825986717360e-01,-1.59768051347946360e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.04409369329358601e-02,-2.39985874372837521e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00113922358877083e+00,4.27731844904795655e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.95178951764586009e-03,-6.37256851216071729e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.95256143504756996e-01,1.17060267334414089e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.12411292254021972e-03,6.47081477773012448e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998987366e-01,9.99999999997667532e-01,9.99999999998663736e-01,9.99999999997659428e-01
9.00000000000000022e-01,9.83815298643113789e-01,-1.79682152402164896e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.33455322729457530e-02,-3.38386612370351187e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00146726534339359e+00,4.84503847764066395e-02,0.00000000000000000e+00,0.00000000000000000e+00,8.63385614915126304e-03,-7.21774193880536374e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.94104133435803838e-01,1.31319239529934101e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.87384444431368533e-03,7.35460785552637802e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998966493e-01,9.99999999997833844e-01,9.99999999998791855e-01,9.99999999997795874e-01
