t,a,H,psi0,psi1,psi2,psi3,psi4,psi5,psi6,psi7,psi8,psi9,psi10,psi11,psi12,psi13,psi14,psi15,S,rho,pressure,w,dust_like_fraction,negative_pressure_fraction,acceleration,Hdot,torsion_trace_time,torsion_scalar,levi_civita_ricci_scalar,boundary_term,boundary_identity_residual,dirac_equivalence_residual,S_relative_error,density_relative_error,friedmann_relative_error
-2.00000000000000011e-01,8.01869547355276713e-01,1.23640044807987826e+00,2.16476542258953009e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.49382646679448974e-02,-6.98765293358897949e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.08238271129476504e+00,4.69109206419125613e+00,1.52868606800184148e+00,-1.03530517183382287e+00,-6.77251656507263822e-01,1.53435429365920195e-01,8.46564570634079749e-01,-1.98147068575941443e-01,-1.72683313658806514e+00,8.65480313655914735e+00,6.42048148565092021e+01,6.14307558964460085e+01,1.25635570752955203e+02,0.00000000000000000e+00,0.00000000000000000e+00,3.32209129894023001e-10,1.07220037709185955e-10,6.72618121894929077e-12
-1.90000000000000002e-01,8.11776464901734052e-01,1.21955340548644364e+00,2.07377213882929956e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.23578488284844770e-02,-6.47156976569689540e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.03688606941464978e+00,4.30471900530787543e+00,1.48731050882664206e+00,-1.01765964684899868e+00,-6.84228102208356725e-01,1.44714872239554149e-01,8.55285127760445851e-01,-1.56467508088169671e-01,-1.64377801692175174e+00,8.53687383840510527e+00,6.24670413710104455e+01,6.02764962577760741e+01,1.22743537628786498e+02,2.84217094304040074e-14,0.00000000000000000e+00,2.97685052164482430e-10,9.40005077512899712e-11,4.66614340835049258e-12
-1.79999999999999993e-01,8.21670657925193892e-01,1.20350213285536389e+00,1.98774744264306324e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.99097761277546045e-02,-5.98195522555092091e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.93873721321531622e-01,3.95471827456608782e+00,1.44841738378313911e+00,-1.00054517604386795e+00,-6.90785119846139772e-01,1.36518600192325479e-01,8.63481399807674577e-01,-1.19135343300039054e-01,-1.56755272708744897e+00,8.42451492998754681e+00,6.08335301190712201e+01,5.91656353128706698e+01,1.19999165431941890e+02,0.00000000000000000e+00,0.00000000000000000e+00,2.67158059444453897e-10,8.26091370289269703e-11,2.94860167997506480e-12
-1.70000000000000012e-01,8.31555041325797606e-01,1.18818196349378780e+00,1.90633719153392178e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.75836790381197572e-02,-5.51673580762395144e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.53168595766960891e-01,3.63716492522255264e+00,1.41177637836978787e+00,-9.83934505686928307e-01,-6.96947845821801582e-01,1.28815192722748162e-01,8.71184807277251894e-01,-8.56701760180555993e-02,-1.49744655439000840e+00,8.31727374445651435e+00,5.92946078916220216e+01,5.80952254273692432e+01,1.17389833318991251e+02,1.42108547152020037e-14,0.00000000000000000e+00,2.40658331880917133e-10,7.29321309278319517e-11,1.53348287390879679e-12
-1.60000000000000003e-01,8.41432282140342158e-01,1.17353489250156051e+00,1.82921977546810210e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.53701362152527927e-02,-5.07402724305055855e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.14609887734051052e-01,3.34861956220989576e+00,1.37718414391813915e+00,-9.67802532646115488e-01,-7.02740106993014035e-01,1.21574866258732511e-01,8.78425133741267516e-01,-5.56514955334335149e-02,-1.43283563945208270e+00,8.21474424751092336e+00,5.78417340445832693e+01,5.70626131071151974e+01,1.14904347151698474e+02,-1.42108547152020037e-14,0.00000000000000000e+00,2.17404839959208153e-10,6.46258492749046510e-11,3.70347320483755064e-13
-1.49999999999999994e-01,8.51304823379076536e-01,1.15950877094913496e+00,1.75610239325737649e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.32605647973595960e-02,-4.65211295947191919e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.78051196628688246e-01,3.08605983110305404e+00,1.34446058990875761e+00,-9.52126078682883903e-01,-7.08184446483106189e-01,1.14769441896117264e-01,8.85230558103882625e-01,-2.87101993825844559e-02,-1.37317078929055802e+00,8.11656139664394516e+00,5.64673447761348939e+01,5.60654019847787168e+01,1.12532746760913611e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.96831458977368263e-10,5.74386527597163836e-11,5.83162872809454945e-13
-1.40000000000000013e-01,8.61174905192413132e-01,1.14605661193110397e+00,1.68671783652736762e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.12471273176875163e-02,-4.24942546353750325e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.43358918263683810e-01,2.84682282173657963e+00,1.31344575775278649e+00,-9.36883693332766110e-01,-7.13302157932816594e-01,1.08372302583979327e-01,8.91627697416020659e-01,-4.52146771907036005e-03,-1.31796722547007139e+00,8.02239628351772716e+00,5.51647218255420455e+01,5.51014212774750547e+01,1.10266143103017114e+02,-1.42108547152020037e-14,0.00000000000000000e+00,1.78571163981149443e-10,5.11957783859778484e-11,1.35937145303737139e-12
-1.30000000000000004e-01,8.71044583714563836e-01,1.13313599092151418e+00,1.62082170178864460e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.93226509478285936e-02,-3.86453018956571873e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.10410850894322299e-01,2.62855644834764446e+00,1.28399717392423685e+00,-9.22055481205483751e-01,-7.18113326049960810e-01,1.02358342437549030e-01,8.97641657562451067e-01,1.72012494060460597e-02,-1.26679592451563572e+00,7.93195193645059948e+00,5.39278813047106453e+01,5.41686987963952760e+01,1.08096580101105914e+02,1.42108547152020037e-14,0.00000000000000000e+00,1.62309980115700203e-10,4.57530486904168372e-11,1.98993215932350550e-12
-1.20000000000000023e-01,8.80915747879494893e-01,1.12070852593747339e+00,1.55818996506004215e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.74805571893240745e-02,-3.49611143786481490e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.79094982530021074e-01,2.42917824673241256e+00,1.25598760011208044e+00,-9.07622950220367986e-01,-7.22636871685177873e-01,9.67039103935277838e-02,9.03296089606472341e-01,3.67113254879509743e-02,-1.21927627462099353e+00,7.84495968156231349e+00,5.27514792045756664e+01,5.32654377614069787e+01,1.06016916965982631e+02,1.42108547152020037e-14,0.00000000000000000e+00,1.47784932875558616e-10,4.09900862483267705e-11,2.49678894527014098e-12
-1.10000000000000014e-01,8.90790134461599714e-01,1.10873942550341797e+00,1.49861686473840905e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.57148004539093937e-02,-3.14296009078187874e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.49308432369204525e-01,2.24684032709160375e+00,1.22930311366921696e+00,-8.93568877851709353e-01,-7.26890599979520102e-01,9.13867500255997611e-02,9.08613249974400183e-01,5.42332883043727954e-02,-1.17506982536127658e+00,7.76117597852392560e+00,5.16307307739572678e+01,5.23899968102184914e+01,1.04020727584175759e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.34773754375388959e-10,3.68080492843068280e-11,2.90212448635386081e-12
