rootId,relativePath,logicalPath,size,bytesRead,sha256,extension,mediaType,encoding,lineCount,auditClass,rootPath
pre-universe-gpt56-sol,.gitignore,pre-universe-gpt56-sol/.gitignore,6511,6511,f2af4b63437cb59c9fb22fabc90b75ca45edc97205eb9eafc7c078bd98a32db0,,text/plain,utf-8,228,other-text,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_energy_budget.pdf,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_energy_budget.pdf,13393,13393,e66bb384766215b2c9dc051bb5e01c96ebdcae7005f50492ab37b7148091e85c,.pdf,application/pdf,,,pdf,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_energy_budget.png,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_energy_budget.png,60631,60631,a13cfce0c75c344bb3b2fb4fbb2cac01e06df19c5ed4e7513d88c5b0b5d5d3ae,.png,image/png,,,binary,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_equation_of_state.pdf,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_equation_of_state.pdf,22982,22982,35d5ed405bac5f1721a780557bf2b0b1e75c37fa8f8237cefbd2a18b3b34ec11,.pdf,application/pdf,,,pdf,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_equation_of_state.png,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_equation_of_state.png,57464,57464,8e4e6d11b92f0ab8e23bfdf7719961c756052f4c3d3f76a761b87d746aa3c372,.png,image/png,,,binary,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_expansion.pdf,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_expansion.pdf,18800,18800,f96d49ce9b5026537140fcd6facfbe7d26c9eaae2fd693d6f3301739b238a99b,.pdf,application/pdf,,,pdf,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_expansion.png,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_expansion.png,54293,54293,5285516c418c1d303f40f9f673cdd28a2cf4d0e504da0466627f1775724e9fa9,.png,image/png,,,binary,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_potential.pdf,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_potential.pdf,21973,21973,521fedd6526211cffffaf10e16fef74c80dbee31fafb786bdf8c9707c88f95b9,.pdf,application/pdf,,,pdf,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/figures/gpt5_6_potential.png,pre-universe-gpt56-sol/artifacts/figures/gpt5_6_potential.png,64279,64279,3a7ba712f1e96d51c44d985136fc63e3938729cd42baf534bd5ac3e4ba90ab5b,.png,image/png,,,binary,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
pre-universe-gpt56-sol,artifacts/gpt5_6_summary.json,pre-universe-gpt56-sol/artifacts/gpt5_6_summary.json,2817,2817,3db6d6eb4b43ec3cedacbfd7d05cb7a476c39163adc7f6d9a5b900a4e6a63c6e,.json,application/json,utf-8,104,other-text,C:\Users\nsh\Developer\code\vscode\Pre-Universe-GPT5_6_Sol-main
